               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  38,            0.067397,            0.024004,            0.037913,             0.28969,             0.29635,             0.17353,            0.060663,            0.037472,            0.012967,            0.022339,            0.006337,            0.006337,            0.006337
                  39,            0.064133,            0.024397,            0.039468,             0.36731,                0.44,             0.27183,            0.096834,             0.03749,            0.013531,            0.021506,            0.006238,            0.006238,            0.006238
                  40,            0.065651,            0.021774,            0.037245,             0.27972,                 0.6,             0.27313,            0.058018,            0.041552,            0.015279,            0.021323,            0.006139,            0.006139,            0.006139
                  41,            0.062385,            0.025513,            0.038569,             0.39371,             0.51043,             0.33691,             0.14383,            0.037852,            0.014401,            0.020892,             0.00604,             0.00604,             0.00604
                  42,            0.063165,            0.021965,            0.036494,             0.43357,             0.38303,             0.37515,             0.15922,            0.039783,            0.016142,            0.020435,            0.005941,            0.005941,            0.005941
                  43,            0.064181,             0.02346,            0.038209,             0.42274,             0.44454,             0.39063,             0.12188,            0.036715,            0.013629,            0.019794,            0.005842,            0.005842,            0.005842
                  44,            0.061492,            0.023626,            0.035787,             0.82113,             0.30025,             0.42971,             0.17592,            0.036251,            0.012536,            0.019116,            0.005743,            0.005743,            0.005743
                  45,             0.06401,             0.01944,            0.034697,             0.56054,             0.37997,             0.27647,            0.081649,            0.040658,            0.012114,            0.019336,            0.005644,            0.005644,            0.005644
                  46,            0.063064,            0.022018,            0.035492,             0.64987,             0.34613,             0.32123,             0.11266,             0.03772,            0.012938,            0.018214,            0.005545,            0.005545,            0.005545
                  47,            0.063292,            0.022396,            0.034813,             0.63074,              0.4389,             0.40126,             0.16796,            0.035323,            0.012557,            0.017766,            0.005446,            0.005446,            0.005446
                  48,            0.059717,            0.023073,            0.034208,             0.89148,             0.36925,             0.55088,             0.20368,            0.035844,            0.013336,            0.017596,            0.005347,            0.005347,            0.005347
                  49,            0.066151,            0.019945,            0.035144,             0.85169,                0.32,             0.46379,             0.18885,            0.040185,            0.016044,            0.018713,            0.005248,            0.005248,            0.005248
                  50,            0.062219,            0.022761,             0.03392,             0.40675,             0.57311,              0.4989,             0.17762,             0.03969,            0.015766,            0.017752,            0.005149,            0.005149,            0.005149
                  51,            0.062084,            0.023564,            0.034125,              0.8246,                0.36,             0.54336,             0.25616,            0.035243,            0.014058,            0.017065,             0.00505,             0.00505,             0.00505
                  52,            0.058474,             0.02144,            0.032465,             0.44023,                0.54,             0.59799,             0.24464,            0.038914,            0.013619,            0.021634,            0.004951,            0.004951,            0.004951
                  53,            0.057985,            0.021656,            0.030287,             0.58615,                 0.5,              0.5331,              0.2638,            0.034461,            0.010841,            0.016644,            0.004852,            0.004852,            0.004852
                  54,            0.059691,            0.022745,            0.030855,             0.61857,             0.63363,             0.62245,             0.28437,            0.033066,            0.010744,            0.014195,            0.004753,            0.004753,            0.004753
                  55,            0.059229,            0.019974,            0.030054,              0.4218,                0.64,             0.68531,             0.37012,            0.029987,            0.010716,            0.013037,            0.004654,            0.004654,            0.004654
                  56,            0.057365,            0.021831,            0.030659,             0.38966,             0.74976,             0.70243,             0.31996,            0.031024,            0.011369,            0.013962,            0.004555,            0.004555,            0.004555
                  57,            0.056852,            0.022771,            0.030203,             0.54411,             0.49625,             0.66508,             0.24199,            0.037472,             0.01156,             0.01875,            0.004456,            0.004456,            0.004456
                  58,            0.056384,            0.023309,            0.029333,             0.55027,                0.56,             0.66865,             0.29621,            0.034831,            0.011961,            0.016273,            0.004357,            0.004357,            0.004357
                  59,            0.056751,            0.021247,            0.029017,             0.56102,                 0.7,             0.78992,             0.38606,            0.031557,            0.011715,            0.012016,            0.004258,            0.004258,            0.004258
                  60,            0.053954,            0.022582,             0.02714,             0.54504,             0.84903,             0.94127,              0.5325,            0.027872,            0.010803,            0.010732,            0.004159,            0.004159,            0.004159
                  61,            0.056039,            0.022707,            0.030796,             0.64595,             0.76293,             0.83232,             0.44288,            0.028801,            0.010376,           0.0099701,             0.00406,             0.00406,             0.00406
                  62,            0.056548,            0.021004,            0.030072,             0.63351,             0.82322,             0.87075,             0.47373,            0.028486,            0.010492,            0.010941,            0.003961,            0.003961,            0.003961
                  63,            0.054869,            0.021037,            0.028492,             0.71208,              0.6353,             0.83585,             0.42625,             0.03186,            0.011036,            0.013889,            0.003862,            0.003862,            0.003862
                  64,            0.054603,            0.020005,            0.025043,             0.62778,                 0.7,             0.89347,             0.48485,            0.028869,            0.011723,            0.011833,            0.003763,            0.003763,            0.003763
                  65,            0.054305,            0.021083,            0.025605,             0.65856,                0.68,             0.86342,             0.41833,            0.031567,            0.012836,            0.013692,            0.003664,            0.003664,            0.003664
                  66,            0.055141,            0.020845,            0.028118,             0.72556,             0.71384,             0.84172,             0.39275,            0.031691,            0.014091,            0.011522,            0.003565,            0.003565,            0.003565
                  67,            0.051542,            0.021074,            0.026777,             0.70655,             0.74612,             0.87436,             0.44879,            0.029069,            0.011798,            0.010206,            0.003466,            0.003466,            0.003466
                  68,            0.052588,             0.02116,            0.026205,             0.63887,              0.7448,             0.86727,             0.39402,            0.028155,            0.010292,            0.009304,            0.003367,            0.003367,            0.003367
                  69,            0.051756,            0.021059,            0.024989,             0.58013,             0.87599,             0.89013,             0.43753,            0.027001,           0.0099704,           0.0086517,            0.003268,            0.003268,            0.003268
                  70,            0.055789,            0.021471,            0.027865,              0.7157,             0.52121,             0.79667,             0.44302,            0.029349,           0.0097569,            0.010217,            0.003169,            0.003169,            0.003169
                  71,            0.053593,             0.01891,            0.027787,             0.52639,             0.73351,             0.78289,             0.46427,            0.028446,           0.0095043,           0.0084274,             0.00307,             0.00307,             0.00307
                  72,            0.053114,            0.018186,            0.021588,             0.94364,             0.67495,             0.85261,             0.47908,            0.027396,           0.0094561,           0.0078621,            0.002971,            0.002971,            0.002971
                  73,            0.053255,            0.019652,            0.025623,              0.8748,              0.6649,             0.80453,             0.41746,            0.029057,           0.0093437,           0.0084091,            0.002872,            0.002872,            0.002872
                  74,            0.052415,            0.020783,            0.021684,              0.7165,             0.85898,             0.95281,             0.47691,             0.02795,           0.0096211,           0.0090706,            0.002773,            0.002773,            0.002773
                  75,            0.050472,            0.022107,             0.02353,             0.58135,             0.79774,             0.90739,             0.38404,            0.028894,             0.01014,            0.010661,            0.002674,            0.002674,            0.002674
                  76,            0.050168,            0.020515,            0.022305,             0.83293,             0.57795,              0.8945,             0.49177,            0.027534,            0.010241,            0.011151,            0.002575,            0.002575,            0.002575
                  77,            0.049946,            0.021186,            0.022188,             0.60784,             0.88693,             0.87146,             0.47781,            0.025872,            0.010253,            0.008535,            0.002476,            0.002476,            0.002476
                  78,             0.04857,            0.021445,            0.022307,             0.68863,             0.88516,             0.90857,             0.48197,            0.028534,           0.0096993,           0.0073013,            0.002377,            0.002377,            0.002377
                  79,            0.052305,            0.021215,            0.025282,             0.71521,             0.85173,             0.88785,             0.48401,            0.026383,           0.0093322,           0.0066216,            0.002278,            0.002278,            0.002278
                  80,            0.048948,            0.019999,            0.021624,             0.87466,             0.74909,             0.91481,              0.5012,            0.025664,           0.0094204,           0.0061432,            0.002179,            0.002179,            0.002179
                  81,            0.050948,            0.020328,            0.023018,             0.65655,             0.75014,             0.87291,             0.43126,             0.02701,           0.0092367,           0.0060219,             0.00208,             0.00208,             0.00208
                  82,            0.049206,            0.020167,            0.021416,             0.60792,             0.76207,             0.81536,             0.43816,            0.026932,            0.010011,           0.0063652,            0.001981,            0.001981,            0.001981
                  83,            0.049216,            0.020661,            0.019686,             0.67038,             0.84486,             0.85417,             0.47001,            0.025984,            0.010229,           0.0059464,            0.001882,            0.001882,            0.001882
                  84,            0.049438,            0.019644,            0.021905,             0.66733,                 0.8,             0.86092,             0.47266,            0.024637,           0.0092653,            0.005912,            0.001783,            0.001783,            0.001783
                  85,            0.047368,            0.020464,            0.022263,             0.91714,                0.72,             0.83107,             0.47723,            0.024642,           0.0086984,           0.0056007,            0.001684,            0.001684,            0.001684
                  86,            0.047444,            0.021242,            0.021816,              0.9106,             0.63901,             0.83874,              0.4482,            0.024862,           0.0090574,           0.0058319,            0.001585,            0.001585,            0.001585
                  87,            0.048209,            0.020464,            0.022332,             0.70835,                0.86,             0.93356,             0.53212,            0.025174,           0.0088473,           0.0050949,            0.001486,            0.001486,            0.001486
                  88,            0.049391,            0.019674,            0.020814,              0.7158,             0.90888,             0.94085,             0.56745,            0.024187,           0.0091499,           0.0057861,            0.001387,            0.001387,            0.001387
                  89,            0.049531,            0.019699,            0.021645,             0.75954,                 0.9,             0.94226,             0.58874,             0.02422,           0.0087983,           0.0049976,            0.001288,            0.001288,            0.001288
                  90,            0.047233,            0.020089,            0.020697,             0.72854,             0.96999,             0.94394,             0.56965,            0.024457,           0.0087812,           0.0051521,            0.001189,            0.001189,            0.001189
                  91,            0.046223,            0.019012,            0.020737,             0.76448,             0.91737,             0.95133,             0.49202,            0.026822,           0.0087175,           0.0051956,             0.00109,             0.00109,             0.00109
                  92,            0.045509,            0.019218,            0.020212,             0.77333,             0.92326,             0.96032,             0.52747,            0.025524,           0.0088134,           0.0055229,            0.000991,            0.000991,            0.000991
                  93,             0.04632,             0.01998,            0.017229,             0.73518,             0.90246,             0.92675,             0.55391,            0.024198,           0.0085147,           0.0051636,            0.000892,            0.000892,            0.000892
                  94,            0.048186,            0.019571,            0.019133,             0.78024,             0.95514,             0.93122,             0.54183,            0.023093,           0.0084673,           0.0044781,            0.000793,            0.000793,            0.000793
                  95,            0.046444,            0.018904,            0.018664,             0.80727,             0.91344,             0.92313,             0.53944,            0.022572,           0.0084113,           0.0040157,            0.000694,            0.000694,            0.000694
                  96,            0.048159,            0.019923,            0.020308,             0.86517,             0.89249,             0.95232,             0.55084,             0.02213,           0.0083539,           0.0036266,            0.000595,            0.000595,            0.000595
                  97,            0.045007,            0.019031,            0.018141,              0.7666,             0.85719,             0.90771,             0.55215,            0.022364,           0.0083237,           0.0033348,            0.000496,            0.000496,            0.000496
                  98,            0.047859,            0.018602,            0.018597,             0.77752,             0.85628,             0.89533,             0.53475,            0.022399,           0.0083051,           0.0032135,            0.000397,            0.000397,            0.000397
                  99,            0.048748,            0.018676,            0.019437,              0.8704,             0.88629,             0.95053,             0.53392,            0.022656,           0.0082749,           0.0033062,            0.000298,            0.000298,            0.000298
